,author,body,date,helpful,rating,title
15,['Kat01'],"[""Love it. I have an old pressure cooker that I use for canning and after using one of those for so long it makes this seem like a breeze. I couldn't believe it was so easy.""]","['on May 4, 2017']",['\n      6 people found this helpful.\n    '],['5.0 out of 5 stars'],['Love it. I have an old pressure cooker that ...']
16,['Scott Henshaw'],"['I love kitchen gadgets in general but this one is simply a pure thing of joy.  It has really helped me develop a quick and simple means of having yummy steamed veggies.  Toss them in, hit the button and in minutes... Magic!', 'Looking forward to learning more recipes focused on health but for now, my simple stuff is really making me love this machine more every day.  100% satisfied']","['on May 18, 2017']",['\n      4 people found this helpful.\n    '],['5.0 out of 5 stars'],['Pure Magic!']
17,['Ayaka'],"[""So I got this pressure cooker to save the time for cooking but I didn't know that It takes about 20mins before giving the pressure."", ""That's the only thing I was really disappointed but the meat became really soft like I can even cut the pork rib with spoon.""]","['on June 10, 2016']",['\n      16 people found this helpful.\n    '],['2.0 out of 5 stars'],['Takes long to give pressure']
18,['Sf1594'],"[""Can't rate this product fairly as the one I received was nonfunctional and returned and not reordered.  One star as being broken upon receip""]","['on May 27, 2017']",['\n      6 people found this helpful.\n    '],['1.0 out of 5 stars'],"[""Can't rate this product fairly as the one I received ...""]"
19,['W. Julian'],['I had this for almost exactly 1 year and it stopped working it will not come on. Just quit. I do not recommend buying this. On the cheap side.'],"['on May 22, 2017']",['\n      6 people found this helpful.\n    '],['2.0 out of 5 stars'],['Stopped working']
20,['Charlotte M Droll'],"[""Bought this pressure cooker in April of 2016. I have only used it 5 or 6 times. Was cooking my St. Patrick's dinner when it gave me error code E4. There are absolutely no trouble shooting tips in the manual. Had to look this up on line to find out what it means. Contacted the company and was told to unplug,allow to cool then try another meal in it. It did not reset. So I can pay shipping and handling to send it back to be repaired then pay shipping and handling for them to send it back. That will be over $50. I like the concept of the pressure cooker and when it did work the food was good, but I cannot see putting more money into this. Will buy a different brand next time. Sad that they spend so much money on infomercials but can't make a product that works more than a few times before it dies.""]","['on March 19, 2017']",['\n      24 people found this helpful.\n    '],['1.0 out of 5 stars'],['dies after a few uses']
21,['Frances'],"['Very satisfied with my power pressure cooker,will be using it quite a lot.', ""Love how it turns itself off when done,don't have to worry about running to see"", 'if the food is done.']","['on May 9, 2017']",['\n      5 people found this helpful.\n    '],['5.0 out of 5 stars'],['Wonderful power pressure cooker']
22,['Colleen M'],"[""I was able to replace my crockpot, my rice steamer and my old pressure cooker with this awesome product!  I've already told friends about it and they want one too!  Does anyone need my old appliances?  I actually saw this demo'd on TV and it works as good as they say.  Probably wouldn't do all the things they suggested in the info-mercial but I still think it's a great product.  Gonna experiment with Artichokes next!""]","['on February 23, 2016']",['\n      5 people found this helpful.\n    '],['5.0 out of 5 stars'],['Awesome Product!  Easy to use and Quiet (unlike normal pressure cookers)']
23,['Petenpete'],"[""For the first year I owned this I would have given it a 5 star review.  Loved it.  However, almost exactly after one year's use the non-stick coating began to wear off.  Any coated utensil should be discarded when the non-stick coating is compromised.  In the future, I will only buy a pressure cooker with a heavy stainless steel inner pot.  Also, using this unit there were times when I wished I had the larger size.  I suspect if I had the larger size there would be times I would like to have the smaller size.  Consider buying two, one of each size if you have plans to use it for sometimes large meals, or for actual canning.  They are very versatile.  Stay away from the non-stick coating inner pots, though.  I suspect you won't find one that will last under heavy use.""]","['on October 22, 2017']",['\n      7 people found this helpful.\n    '],['2.0 out of 5 stars'],['Inner Pot Coating Quickly Wears Off']
24,['Sandra'],"['I loved this pressure cooker the first time I used it, after that the screw and plastic valve on the lid kept coming out. It takes about 10 to 15 minutes of trying to fix it every time before I use it. Maybe i received a defective one, but for $130.00 I expected more.']","['on June 7, 2017']",['\n      5 people found this helpful.\n    '],['3.0 out of 5 stars'],['I loved this pressure cooker the first time I used it']
25,['Mr.Truth'],"['Works Great! I love this thing. It comes with a cup, a rack, and a spoon. There is also a chopper that does your veggies, like onions.Wonderful fall apart, moist meat. I live alone, I use this nightly. Its super easy to clean.']","['on January 19, 2017']",['\n      4 people found this helpful.\n    '],['5.0 out of 5 stars'],['Great buy!']
26,['paul j. stoufflet'],"['Awesome invention.  My wife has cooked in a stove top pressure cooker for years.  This pressure cooker is the best.  We have used it to cook several meals. Being from Louisiana, we like our food seasoned and because the food is cooked under pressure the seasoning is infused into whatever one may be cooking.  Highly recommend it.']","['on February 14, 2017']",['\n      5 people found this helpful.\n    '],['5.0 out of 5 stars'],['Awesome invention. My wife has cooked in a stove ...']
27,['keri Banister'],"[""I waited to leave feedback until I had used it several times.  WOW I made a roast and the first time it was ever fall apart tender I am 61 and finally made a good roast!  Made corned beef brisket last night oh my goodness it was awesome.  I can't wait to try all the recipes in the two cook books I bought to go with this.  Thank you so much and my husband thanks you too LOL""]","['on April 22, 2017']",['\n      9 people found this helpful.\n    '],['5.0 out of 5 stars'],['This product gets 10 stars from me it really does exactly as it says.  Everything is wonderful']
28,['Donald M.'],"[""I am really upset. I bought this and I think I bought a lemon. I bought one for my sister and my sister in law also. But mine is not working like the ones they have. I can't close my lid for some reason.""]","['on September 7, 2017']",['\n      6 people found this helpful.\n    '],['2.0 out of 5 stars'],['Not happy']
29,['LAB'],"[""This has broken twice and no it seems I cannot exchange the broken pot the second time. Little metal piece falls out and the cover doesn't seal for the pressure to build up. Very disappointing as I loved using this pot when it worked.""]","['on February 3, 2018']",['\n      3 people found this helpful.\n    '],['1.0 out of 5 stars'],['Very disappointing as I loved using this pot when it worked']
30,['sahraouil'],"['It is a nice product, however, for some reason the coating inside the cooking pot started to come off, which made us a bit skeptical to cook in it. We called the manufacturer and told us to call Amazon since we bought through Amazon. We asked for a replacement inner pot, and they refused. In general it is a good product but the way they are doing business is WRONG.']","['on June 29, 2017']",['\n      9 people found this helpful.\n    '],['1.0 out of 5 stars'],['Good Product Bad Customer Support']
31,['TheMissus'],"[""I don't know why everyone is having such a hard time with this. I saw the reviews after I bought mine and I was really worried. But mine came in a week. It did come with a small cookbook and canning cookbook. So I looked online for more recipes. The first day I made Italian pasta with uncooked shells and sausage. It was Amazing. The second day I made a position and threw the steamer rack over it and made potatoes carrots and mushrooms. They were all cooked perfectly. And yesterday I made a pulled 3lb pork shoulder roast . And again put the steamer rack on and threw 5 whole potatoes yes all that at once. In 45 minutes my family had another delicious home cooked meal! I am a REALTOR with three small children. My nights are crazy busy , and in the time it would take me to make a frozen pizza or chicken nuggets I'm making delicious flavorful and mostly healthy meals. Even my husband the cheap skate told me this was worth the money.""]","['on October 1, 2014']","['\n      1,456 people found this helpful.\n    ']",['5.0 out of 5 stars'],"[""I'm shocked!""]"
32,['Amazon Customer'],"[""I love this, and there is probably a learning curve, but so far here's what I've discovered"", 'after watching the infomercials, where they dump everything into the pot, seal the lid and press the buttons ...', 'after following a pasta recipe included in the booklet that came with ... I suggest stirring everything before beginning the cook process,', 'some of my pasta was cooked well, and some was still crunchy ... the dish had great flavor, meat was done', ""it says 6mins for rice, I added rice to a sauce for 10 mins, then another 4, and my rice was still not cooked, although meat & veggies were perfect ... next time I'll try minute rice, instead of long cooking rice"", 'directions did not suggest I season the pot before use, I should have ..', ""two uses and the bottom is crusty, takes alot of soaking and scrubbing to get the burn off ...  ?? thought it was non stick ... in future I'll spray some pam in before I begin"", 'the good ... flavors really are infused, amazing, better than same dishes in a stock pot ... I just have to figure out how to cook the pasta and rice as quickly as everything else LOL']","['on November 3, 2015']",['\n      9 people found this helpful.\n    '],['4.0 out of 5 stars'],['pretty good']
33,['JPJ Photography & Media'],['Cooked one meal and it died half-way through. Returning it for another brand.'],"['on January 16, 2018']",['\n      3 people found this helpful.\n    '],['2.0 out of 5 stars'],['Died On The First Use']
34,['amatolu'],"[""This is the most used appliance in our home.  It's easy and quick to make meals.  I can make breakfast, lunch and dinner in this Pressure cooker.  I add my ingredients and turn the lid and walk away and in a little bit its done!  I love it!  I'm giving this to my newly married daughter for Christmas!""]","['on October 25, 2015']",['\n      5 people found this helpful.\n    '],['5.0 out of 5 stars'],['Great Pressure Cooker!']
35,['Jan Bendzuch'],['good product when is new. after 10 months starts braking down parts after parts. costumer service very bed. thats why they give you only 60 days warranty. i try and never again.'],"['on December 16, 2016']",['\n      6 people found this helpful.\n    '],['1.0 out of 5 stars'],['i try and never again.']
36,['Ronnie Amazon Customer'],['I did not even use this thing but one time and the plastic seal on the lid broke and a screw fell out of lid plus the plastic knob broke. I am so disappointed.'],"['on July 9, 2017']",['\n      3 people found this helpful.\n    '],['1.0 out of 5 stars'],['I am so disappointed.']
37,['PopeyeMagoo'],"[""I love my pressure cooker. I make sticky rice in it and I have 4 yams done in 20 minutes to perfection. I'm not really into cooking meat in it, maybe the slow cooker works good for it.""]","['on January 25, 2018']",['\n      2 people found this helpful.\n    '],['5.0 out of 5 stars'],['Save time and mess! Outstanding cooker.']
38,['Pam Woods'],['My pressure cooker worked great until today. I purchased it January 9 and have only used it a few times but today I received an error code E4. When I called the company they told me to get in touch with Amazon to get a replacement.'],"['on March 14, 2017']",['\n      5 people found this helpful.\n    '],['3.0 out of 5 stars'],['Stopped working after a few uses']
39,['Phyllis Simmons'],"['I have made four of the recipes in the small cookbook and I have found that I was satisfied with the outcome, however the timing is off for me, it is nothing to snapping the lid back on and adding time, I made a roast pork, wings, the pot roast, a modified rigatoni recipe, satisfied with all of them, the fast timing of the finished product is the best. I like this product so far.']","['on February 14, 2015']",['\n      7 people found this helpful.\n    '],['4.0 out of 5 stars'],['I recommend this product']
40,['Tammy'],"[""I love this pressure cooker. It cooks everything perfectly and is super quiet. I've always used the old time presto pressure cookers and this beats them hands down. I bought the 8 quart and it is quite big which is great for big meals like chile or stews. I'm so glad I found this item on amazon. Thank you!""]","['on March 16, 2017']",['\n      2 people found this helpful.\n    '],['5.0 out of 5 stars'],['Best pressure cooker ever!!']
41,['GAbrook'],"[""I love this product, it's great for quick meals for a very busy family of 4. HOWEVER, I've only had it a little over a year and used it maybe 10 times, and it broke already. For the price of this product, it should last for more than 10 uses. If it wasn't so cheaply made, I would give this a 5 star rating.""]","['on November 8, 2017']",['\n      3 people found this helpful.\n    '],['2.0 out of 5 stars'],['Should last for more than 10 uses for the price!']
42,['Ada Yandell'],['I love my pressure cooker. Its a must have in my house. I work and with this I can still make my family a roast or a pot of beans at the end of the day! I would recommend this item to any one looking to buy. Its very simple to use and cleans up easily. If you are going to cook anything that has a red sauce I recommend you find a way to remove stains from the silicone ring. It collects odors and quite easily. I just use the gel bleach that I have on it and it works great!!'],"['on January 30, 2017']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],"['Fantastic, a must have!']"
43,['Nashi'],"[""Great product.  I've had earlier versions of electric pressure cookers and either sent one back and donated the other.  They were clunky, heavy and not user friendly.  I saw a demo on this one and decided to give it another try.  There is a small learning curve but, so far, I'm impressed and very happy with the purchase. It's quick, easy and the clean up is a breeze.""]","['on February 8, 2016']",['\n      3 people found this helpful.\n    '],['5.0 out of 5 stars'],"['Third time, the charm.']"
44,['Bobbie A. Johnson'],"[""this is a GREAT product.  I can cook things so much faster and they actually taste better too.  I cook a roast from the freezer and it only takes about 40 minutes.  and it's so tender.  I've made a lot of things in here.  love this product!""]","['on October 11, 2016']",['\n      3 people found this helpful.\n    '],['5.0 out of 5 stars'],['this is a GREAT product. I can cook things so much faster ...']
45,['Reball'],"[""The pressure plug and gasket will fall out while cleaning. Replacement part is $13. And 2 weeks of waiting. Also the little plastic cup on the side breaks off. If you are careful,  and pay attention while cleaning it you should be fine. Don't let your kids clean it.""]","['on February 20, 2017']",['\n      4 people found this helpful.\n    '],['3.0 out of 5 stars'],['lost parts']
46,['Momof3Boys'],"['Pros: Everything I have cooked in this has turned out great.  I got a good deal on the 8 qt. model and I like the larger size.  Chicken, soup, wild rice, quinoa, wild game, pork have all come out fabulous in a fraction of the time.  It works well- which is the reason for 4 stars even with the cons I have!', ""Cons:  1) The nonstick surface isn't great and food sticks even with oil.  I'm afraid this is going to get worse over time and I am careful with my utensils and how I clean it.  2) The directions/ cookbook that it came with are lacking for someone new to electric pressure cooking.  I have had to go online to look up everything I have made and most of the directions & recipes put out by Power Pressure Cooker are via a You Tube video rather than just online recipes or directions, which I would have preferred.  3) This is the biggest con for me: Customer service --within 2 months the tiny plastic ring that fits over the end of the float valve fell off and was lost. I see from other reviews, this is not an isolated problem.  When I contacted the company, I was told I had to order an entire valve for $9.99. Customer service wouldn't help me even though it was so new because I bought it from Amazon.  They told me to call Amazon and ask for replacement part.  Their website also doesn't have the owner's manual online(file not found error)."", 'Bottom line : While I like this product, I kind of wish I had bought an Instant Pot instead for its stainless pot and the huge amount of online recipes for the Instant Pot that I have to convert to do in the XL, as well as the poor customer service I received from Power Pressure.']","['on March 1, 2017']",['\n      25 people found this helpful.\n    '],['4.0 out of 5 stars'],['I like it but wish I had bought an Instant Pot instead']
47,['William P. Sherman'],"['Does an excellent job in cooking a large amount of food items into a stew, a big piece if meat with a lot of vegetables, new way to produce bread in small metal cans and whatever you think up your want to have in a short period of time. Great item to have, especially when you are in need of a large amount of food if a large number of family happens to show up, unannounced.Wish I had this item many months ago.']","['on April 14, 2016']",['\n      2 people found this helpful.\n    '],['5.0 out of 5 stars'],['A MUST NEEDED ITEM.']
48,['FamilyOfBigfoots'],"['I have had the power pressure cooker xl 6qt for a few months.  I LOVE it!  I use it to can left overs in pt. and half pt jars and it works great. I use it to cook meat and it is the best. Yes, I have put frozen meat in it!  I have used it for soups, stews . . . . they only thing I have not tried yet is pasta - we are kinda ""pasta snobs"" and I\'m nervous to try it.  So far it does exactly what it says it will and it has become my favorite ""go to"" . I put my slow cooker, fryer, electric fry pan in the basement and have not got them out since.  Very easy to use.  . . . like I said- I love it.']","['on December 1, 2015']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],['This is so cool . . .']
49,['Believing'],"[""Don't cook just meat in this as it dries it out.  It works great for goulash or soup!  The steam lock/release is really awkward with nothing good to grip on to turn it with tongs. There's a little nub but it's barely big enough to grip.  The pot inside seems like it will scratch easily so I'm very careful with cleaning it.  I thought the cooker was cool at first but I can say I don't use it much so it's not that cool.""]","['on March 10, 2018']",[],['3.0 out of 5 stars'],['It works great for goulash or soup']
50,['Merilee Conley'],['Worked great 2 months and then DIED. Told by power XL that must send ck for 24.95 to cover return shipment to me; UPS to box and send to them $80.00!  Not going to do it and NOT BUYING ANOTHER!!!'],"['on May 15, 2017']",['\n      9 people found this helpful.\n    '],['1.0 out of 5 stars'],"[""Don't buy Power XL -- broke after 25 days""]"
51,['Kindle Customer'],['Repeat the heading several times!!! Greatly reduced cooking time. Used slow cookers and took 8 hours to do what now takes 1 hour at the longest.'],"['on October 13, 2017']",['\n      2 people found this helpful.\n    '],['5.0 out of 5 stars'],['Believe what you read and hear about this']
52,['AYonko'],"[""Best small appliance you'll ever buy. No worries about safety or watching the clock. One button convenience and simple operation. This is something you have to have""]","['on November 27, 2016']",['\n      3 people found this helpful.\n    '],['5.0 out of 5 stars'],"[""Not your granny's pressure cooker""]"
53,['Stuart Hoff'],['First time I finally use it turn it on seared the meat put in veggys heating up then light go out and stopped working. It will cost me 25 dollars plus shipping to repair or replace my bad for not using it as soon as I got it.'],"['on October 10, 2015']",['\n      15 people found this helpful.\n    '],['1.0 out of 5 stars'],['It will cost me 25 dollars plus shipping to repair or replace my bad for not using it as soon as I got ...']
54,['R. Bailey'],"['works really great, just wish i knew more on how to use it. i really enjoy using it and tell my friends about it and where i got it, love it']","['on December 27, 2016']",['\n      3 people found this helpful.\n    '],['5.0 out of 5 stars'],"['works really great, just wish i knew more on how to ...']"
55,['Marlise in Denver'],"['It\'s not heavy, so I won\'t complain about the non-stick inner pot. Easy to clean. Works great with all its uses (except I haven\'t done canning yet), so it saves counter space. FAST! However, still looking for the ""Go shopping"" button. Recommending it like mad, especially to disabled folks like me who prefer to make good big batches of food as opposed to processed gunk. Thanks, manufacturers and designers!']","['on November 27, 2015']",['\n      2 people found this helpful.\n    '],['5.0 out of 5 stars'],['Easy to clean']
56,['Amazon Customer'],['My daughter absolutely loves this pressure cooker. She said she made chicken adobo in 30 minutes as opposed to the usual two hours!'],"['on April 1, 2017']",['\n      5 people found this helpful.\n    '],['5.0 out of 5 stars'],['we love it!']
57,['N. Fritz'],"[""Great for me and my kitchen duty.  EASY to take apart and clean. Love the new silicon seal.  Sure beats my Grandma's rubber seal!"", 'Cooked a chicken soup first and it turned out great.', ""Second did rice and it was fast and perfect for me. I like my rice a bit sticky so I didn't pre-soak to remove extra starch. Pre-soak ithe rice and it would have been flaky style."", 'Last did a 3 pound roast.  Wonderful, ""Pot roast at Grandma\'s""  flavor and remembrances.']","['on March 29, 2016']",['\n      One person found this helpful.\n    '],['5.0 out of 5 stars'],"[""Not your Mother's pressure cooker.""]"
58,['faith l.'],['This pressure cooker nearly blew up on my mother and I. I never paid attention to the reviews warning other consumers about this so please heed my warning. We followed all proper instructions and took care of the unit. Last night the lid blew open mid use. Luckily no one was harmed . If you smell anything burning or it is acting off unplug it and get out of the room.'],"['on April 9, 2018']",[],['1.0 out of 5 stars'],['Be very cautious!']
59,['CM'],"['My cousin bought this for me as a gift. Went online to spokesperson and got some great recipes. I love this machine. Put', 'away both of my crockpots since this has a slow cook function button. Since you can saute before cooking it cuts down on dishes', 'and mess. It is also easy easy easy to clean.']","['on March 5, 2017']",['\n      2 people found this helpful.\n    '],['5.0 out of 5 stars'],['Cooking now']
60,['Cathleen S.'],['Plastic seal on the lid broke and a screw fell out of lid after just one use.'],"['on March 15, 2017']",['\n      5 people found this helpful.\n    '],['1.0 out of 5 stars'],['One Star']
61,['Loretta'],['So far I have not had a good experience with this item. I had to get a replacement part after the first time I tried to use it. When I put the new part in and tried to use it again it still did not work correctly. I will try it one more time and see what happens.  Maybe I just got a lemon.'],"['on March 23, 2016']",['\n      4 people found this helpful.\n    '],['3.0 out of 5 stars'],['So far I have not had a good experience with this item']
62,['Boris'],"['Works great. So handy. Use it a couple times a week. No need to wait for a large harvest to can food. Set it and forget it...well, almost. I\'ve processed over 100 pints so far. Like it so much, I bought a second one to increase my ""production"", so to speak.']","['on December 23, 2015']",['\n      3 people found this helpful.\n    '],['5.0 out of 5 stars'],['Excellent Canner for frequent small quantities...']
63,['NS'],['PPC Power Pressure Cooker XL cooks great ! Made chicken from freezer in half an hour with sauce. Yummy !  Looking forward to using as slow cooker too. Shipped quickly.  Love it so far. Easy to clean.  Thank You.'],"['on October 18, 2015']",['\n      4 people found this helpful.\n    '],['5.0 out of 5 stars'],['Power Pressure Cooker XL']
64,['Sunny'],"['Best investment. You can cook whole chickens. I also make beans, stew, Mexican Caldo, chille Colorado, Carnitas with a dash of tequila. Best ever!', 'Down side is steam some times comes out of handle.']","['on January 5, 2017']",['\n      2 people found this helpful.\n    '],['5.0 out of 5 stars'],['Makes great food!']
